"#file:///F:/HYBRID Dance DATA for processing/Video/SEGMENTED/CoLocatedSegmented/CoLocated_Rehearsal_Panasonic_Cut_25fps.mp4 -- offset: 0, duration: 00:56:22.360 / 3382.360 / 3382360, ms per sample: 40.0"
"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - PAL","Laughter","Segmentation"
00:06:22.990,382.99,00:06:22:24,00:06:25.000,385.0,00:06:25:00,00:00:02.010,2.01,00:00:02:00,"Together,contagious, unsure what is next, OK (VERBAL), AGREEMENT [a7]","Repeating from top  [a492]"
00:06:25.000,385.0,00:06:25:00,00:06:25.100,385.1,00:06:25:02,00:00:00.100,0.1,00:00:00:02,"Together,contagious, unsure what is next, OK (VERBAL), AGREEMENT [a7]",
00:06:25.100,385.1,00:06:25:02,00:06:27.980,387.98,00:06:27:24,00:00:02.880,2.88,00:00:02:22,"Together,contagious, unsure what is next, OK (VERBAL), AGREEMENT [a7]","Repeating from top verbal  [a493]"
00:06:27.980,387.98,00:06:27:24,00:06:41.100,401.1,00:06:41:02,00:00:13.120,13.12,00:00:13:03,,"Repeating from top verbal  [a493]"
00:06:41.100,401.1,00:06:41:02,00:06:48.042,408.042,00:06:48:01,00:00:06.942,6.942,00:00:06:23,"Together,contagious,Verbal exchange, unsure what is next, NEGOTIATION, VERBAL [a8]","Repeating from top verbal  [a493]"
00:06:48.042,408.042,00:06:48:01,00:06:51.000,411.0,00:06:51:00,00:00:02.958,2.958,00:00:02:23,,"Repeating from top verbal  [a493]"
00:06:51.000,411.0,00:06:51:00,00:06:59.050,419.05,00:06:59:01,00:00:08.050,8.05,00:00:08:01,"Together,simultaneous, MISTAKE, PHYSICAL accident, bumping, VERBAL (OK) [a9]","Repeating from top verbal  [a493]"
00:06:59.050,419.05,00:06:59:01,00:07:03.100,423.1,00:07:03:02,00:00:04.050,4.05,00:00:04:01,,"Repeating from top verbal  [a493]"
00:07:03.100,423.1,00:07:03:02,00:07:55.532,475.532,00:07:55:13,00:00:52.432,52.432,00:00:52:10,,"Repeating from top  [a494]"
00:07:55.532,475.532,00:07:55:13,00:07:58.740,478.74,00:07:58:18,00:00:03.208,3.208,00:00:03:05,"Lisa solo chuckle, ENJOYMENT [a10]","Repeating from top  [a494]"
00:07:58.740,478.74,00:07:58:18,00:08:28.756,508.756,00:08:28:18,00:00:30.016,30.016,00:00:30:00,,"Repeating from top  [a494]"
00:08:28.756,508.756,00:08:28:18,00:08:31.600,511.6,00:08:31:15,00:00:02.844,2.844,00:00:02:21,"Together,contagious, AGREEMENT, Lisa to Ole, VERBAL (NICE) [a11]","Repeating from top  [a494]"
00:08:31.600,511.6,00:08:31:15,00:08:31.800,511.8,00:08:31:20,00:00:00.200,0.2,00:00:00:05,,"Repeating from top  [a494]"
00:08:31.900,511.9,00:08:31:22,00:08:44.810,524.81,00:08:44:20,00:00:12.910,12.91,00:00:12:22,,"Searching for material  [a495]"
00:08:44.810,524.81,00:08:44:20,00:08:47.530,527.53,00:08:47:13,00:00:02.720,2.72,00:00:02:18,"Lisa solo, unsure whats next, NOVELTY [a12]","Searching for material  [a495]"
00:08:47.530,527.53,00:08:47:13,00:09:38.450,578.45,00:09:38:11,00:00:50.920,50.92,00:00:50:23,,"Searching for material  [a495]"
00:09:38.450,578.45,00:09:38:11,00:09:44.410,584.41,00:09:44:10,00:00:05.960,5.96,00:00:05:24,"Together,simultaneous, Laught at Lisa, ENJOYMENT [a13]","Searching for material  [a495]"
00:09:44.410,584.41,00:09:44:10,00:09:45.827,585.827,00:09:45:20,00:00:01.417,1.417,00:00:01:10,,"Searching for material  [a495]"
00:09:45.827,585.827,00:09:45:20,00:09:50.300,590.3,00:09:50:07,00:00:04.473,4.473,00:00:04:11,"Together,simultanoues, MISTAKE turn into a metarial [a14]","Searching for material  [a495]"
00:09:50.300,590.3,00:09:50:07,00:09:54.237,594.237,00:09:54:05,00:00:03.937,3.937,00:00:03:23,"Together,simultanoues, MISTAKE turn into a metarial [a14]","Cleaning the material [a496]"
00:09:54.237,594.237,00:09:54:05,00:10:03.876,603.876,00:10:03:21,00:00:09.639,9.639,00:00:09:15,,"Cleaning the material [a496]"
00:10:03.876,603.876,00:10:03:21,00:10:06.590,606.59,00:10:06:14,00:00:02.714,2.714,00:00:02:17,"Lisa solo,unsure whats next, AGREEMENT [a15]","Cleaning the material [a496]"
00:10:06.590,606.59,00:10:06:14,00:10:08.020,608.02,00:10:08:00,00:00:01.430,1.43,00:00:01:10,,"Cleaning the material [a496]"
00:10:08.020,608.02,00:10:08:00,00:10:13.000,613.0,00:10:13:00,00:00:04.980,4.98,00:00:04:24,"Together,contagious, AGREEMENT,respond to suggestion, unsure whats next [a16]","Cleaning the material [a496]"
00:10:13.000,613.0,00:10:13:00,00:10:16.000,616.0,00:10:16:00,00:00:03.000,3.0,00:00:03:00,"Together,contagious, AGREEMENT,respond to suggestion, unsure whats next [a16]","Searching for material [a497]"
00:10:16.000,616.0,00:10:16:00,00:10:20.110,620.11,00:10:20:02,00:00:04.110,4.11,00:00:04:02,,"Searching for material [a497]"
00:10:20.110,620.11,00:10:20:02,00:10:26.100,626.1,00:10:26:02,00:00:05.990,5.99,00:00:05:24,"Together, contagious,from Ole to Lisa, Lisa MISTAKE, VERBAL (OK)  [a17]","Searching for material [a497]"
00:10:26.100,626.1,00:10:26:02,00:10:28.027,628.027,00:10:28:00,00:00:01.927,1.927,00:00:01:23,,"Searching for material [a497]"
00:10:28.027,628.027,00:10:28:00,00:10:31.434,631.434,00:10:31:10,00:00:03.407,3.407,00:00:03:10,"Lisa solo,Ole joke gestural, Lisa laughs, ENJOYMENT [a18]","Searching for material [a497]"
00:10:31.434,631.434,00:10:31:10,00:10:38.460,638.46,00:10:38:11,00:00:07.026,7.026,00:00:07:00,,"Searching for material [a497]"
00:10:38.460,638.46,00:10:38:11,00:10:40.660,640.66,00:10:40:16,00:00:02.200,2.2,00:00:02:05,"Lisa solo,unsure whats next, NEGOTIATION [a19]","Searching for material [a497]"
00:10:40.660,640.66,00:10:40:16,00:10:42.270,642.27,00:10:42:06,00:00:01.610,1.61,00:00:01:15,,"Searching for material [a497]"
00:10:42.270,642.27,00:10:42:06,00:10:47.518,647.518,00:10:47:12,00:00:05.248,5.248,00:00:05:06,"Together contagious, lisa to Ole, DISAGREEMENT from Lisa,cartwheel, VERBAL Nei [a20]","Searching for material [a497]"
00:10:47.518,647.518,00:10:47:12,00:10:58.000,658.0,00:10:58:00,00:00:10.482,10.482,00:00:10:12,,"Searching for material [a497]"
